subject	session	mapping	run	trial_nr	gaze_dispersion	n_samples	frac_valid
01	2	cdf	2	46	30.91727600773674	1126	1.0
01	2	cdf	3	47	27.843826287533055	884	1.0
01	2	cdf	3	48	107.83436436009193	1209	1.0
01	2	cdf	3	49	38.321908263984824	1085	1.0
01	2	cdf	3	50	33.373297149087215	1159	1.0
01	2	cdf	3	51	198.04416095307698	1051	0.9590865842055185
01	2	cdf	3	52	56.61354313373982	1310	1.0
01	2	cdf	3	53	52.362766027999015	1503	1.0
01	2	cdf	3	54	47.99292837667482	1267	1.0
01	2	cdf	3	55	136.14895485904918	993	1.0
01	2	cdf	3	56	106.15552213063434	1276	1.0
01	2	cdf	3	57	29.476990228533342	1385	1.0
01	2	cdf	3	58	39.01387812077074	975	1.0
01	2	cdf	3	59	37.60067402593584	1185	1.0
01	2	cdf	3	60	60.63693695197091	1128	1.0
01	2	cdf	3	61	67.77250347114278	1068	1.0
01	2	cdf	3	62	42.409787901382295	1193	1.0
01	2	cdf	3	63	232.9997554992074	976	0.930327868852459
01	2	cdf	3	64	222.88173716527038	901	0.9211986681465039
01	2	cdf	3	65	30.792387268352517	826	1.0
01	2	cdf	3	66	189.00941217153476	1176	0.9778911564625851
01	2	cdf	3	67	55.83423515049692	1234	1.0
01	2	cdf	3	68	126.39176155984102	1059	0.9820585457979226
01	2	cdf	3	69	69.9741014738082	1217	1.0
01	2	cdf	4	70	34.715795012848154	1220	1.0
01	2	cdf	4	71	42.93533099860717	1151	1.0
01	2	cdf	4	72	130.64678914041718	1251	1.0
01	2	cdf	4	73	47.93867020034896	1259	1.0
01	2	cdf	4	74	35.443429169120435	1501	1.0
01	2	cdf	4	75	189.61764407215844	1267	0.930544593528019
01	2	cdf	4	76	46.43770051377641	1201	1.0
01	2	cdf	4	77	33.840424413729295	1068	1.0
01	2	cdf	4	78	27.55749420883085	1259	1.0
01	2	cdf	4	79	41.33476955890056	1242	1.0
01	2	cdf	4	80	120.41062376537029	1176	0.9727891156462585
01	2	cdf	4	81	180.9158443382885	943	0.9777306468716861
01	2	cdf	4	82	30.117507705036726	1243	1.0
01	2	cdf	4	83	58.128813654551585	934	1.0
01	2	cdf	4	84	156.20150751543915	917	0.925845147219193
01	2	cdf	4	85	58.36692335899309	984	1.0
01	2	cdf	4	86	104.61772710761193	1109	1.0
01	2	cdf	4	87	77.01533068803965	1284	1.0
01	2	cdf	4	88	117.68726593861315	1151	1.0
01	2	cdf	4	89	44.264208001991676	1343	1.0
01	2	cdf	4	90	42.660099928536354	1351	1.0
01	2	cdf	4	91	41.37866588201632	1268	1.0
01	2	cdf	4	92	42.248483623445836	1234	1.0
01	2	cdf	5	93	39.07631126921273	1168	1.0
01	2	cdf	5	94	40.8145107679357	1503	1.0
01	2	cdf	5	95	58.32224836710988	1493	1.0
01	2	cdf	5	96	36.886247770536706	1218	1.0
01	2	cdf	5	97	47.39401383495349	1234	1.0
01	2	cdf	5	98	35.40009968671065	1185	1.0
01	2	cdf	5	99	43.95481414546982	1068	1.0
01	2	cdf	5	100	109.89867276537603	892	1.0
01	2	cdf	5	101	62.16005279271357	1309	1.0
01	2	cdf	5	102	86.96051175502193	1218	1.0
01	2	cdf	5	103	32.75977530914663	1017	1.0
01	2	cdf	5	104	83.9131637686528	1352	1.0
01	2	cdf	5	105	55.70544147530405	1109	1.0
01	2	cdf	5	106	35.3710176097927	1161	1.0
01	2	cdf	5	107	32.24830499188921	1068	1.0
01	2	cdf	5	108	37.10780553673643	842	1.0
01	2	cdf	5	109	33.999585034707415	1502	1.0
01	2	cdf	5	110	52.73131524020343	1084	1.0
01	2	cdf	5	111	161.88628741845912	868	0.988479262672811
01	2	cdf	5	112	46.962038410784054	1268	1.0
01	2	cdf	5	113	126.06431759551072	1152	0.9895833333333334
01	2	cdf	5	114	40.86785834920091	1218	1.0
01	2	cdf	5	115	37.94132533810139	1110	1.0
01	2	cdf	6	116	34.14491025843254	1176	1.0
01	2	cdf	6	117	65.52041804226421	876	1.0
01	2	cdf	6	118	31.508738284655585	1018	1.0
01	2	cdf	6	119	48.2886510677162	1076	1.0
01	2	cdf	6	120	48.581237894287376	1076	1.0
01	2	cdf	6	121	43.567876097273555	1077	1.0
