subject	session	orientation	sd_E
3	2	111.99999237060547	14.952226659263374
3	2	112.99999237060547	15.245641340723367
3	2	114.0	14.98770266181242
3	2	115.0	13.611869482766425
3	2	115.99999237060547	14.08382787045149
3	2	117.0	12.656612885826782
3	2	117.99999237060547	11.876086188234405
3	2	118.99999237060547	12.555368137986036
3	2	120.0	11.031720273790857
3	2	120.99999237060547	11.263018653617815
3	2	122.0	10.322294991684666
3	2	122.99999237060547	10.271379346516806
3	2	123.99998474121094	9.403749807760196
3	2	124.99999237060547	9.842165990204974
3	2	125.99999237060547	9.114642414345543
3	2	127.0	8.910108984554926
3	2	127.99999237060547	8.039089964422695
3	2	128.99998474121094	7.680162669764879
3	2	130.0	7.97542491739536
3	2	130.99998474121094	7.584147285507425
3	2	132.0	7.70732633209402
3	2	132.99998474121094	7.364359481979231
3	2	134.0	7.100623680010236
3	2	135.0	7.252305106003294
3	2	135.99998474121094	7.166878222506652
3	2	137.0	7.606867909781472
3	2	137.99998474121094	7.59321350785697
3	2	139.0	7.942967858459459
3	2	139.99998474121094	7.632966062600091
3	2	140.99998474121094	8.05323101732556
3	2	142.0	8.432917818191985
3	2	142.99998474121094	8.929054221765249
3	2	144.0	9.283009992480942
3	2	144.99998474121094	9.485724030631395
3	2	146.0	9.916846424816248
3	2	147.0	10.141249728676078
3	2	147.99998474121094	10.873758488855973
3	2	149.0	11.717686417418992
3	2	149.99998474121094	11.47967908427979
3	2	151.0	12.119554257615032
3	2	151.99998474121094	12.824033628988488
3	2	152.99998474121094	13.703604045961574
3	2	154.0	13.58934181133643
3	2	154.99998474121094	14.362040258366326
3	2	156.0	14.603781143660589
3	2	156.99998474121094	13.914325627140222
3	2	158.0	14.838831858662822
3	2	158.99998474121094	14.324177104702361
3	2	159.99998474121094	14.298228362271836
3	2	161.0	14.217930950841874
3	2	161.99998474121094	14.254161689294207
3	2	163.0	13.099219389327363
3	2	163.99998474121094	13.25812374036771
3	2	164.99998474121094	13.244224305406734
3	2	166.0	12.377299983681926
3	2	166.99998474121094	11.946871707471479
3	2	168.0	11.893568057415052
3	2	168.99998474121094	11.440814454128772
3	2	169.99998474121094	11.879601174336022
3	2	170.99998474121094	10.391131345687347
3	2	171.99998474121094	9.945599813674708
3	2	173.0	10.026949074236853
3	2	173.99998474121094	9.640398787028213
3	2	175.0	9.864534859736766
3	2	175.99998474121094	9.523458264474778
3	2	176.99998474121094	9.298182403948479
3	2	178.0	9.602027638044726
3	2	178.99998474121094	8.77814033828017
27	1	0.0	4.362344919578295
27	1	0.9999999403953552	3.8600178032960604
27	1	1.9999998807907104	4.607138472544729
27	1	3.0	3.8679382614123363
