subject	quantity	roi	session	run	trial_nr	true	post_mean	post_map	post_sd	error
06	value	BensonV1	1	4	70	34.0	36.98134315538998	36.72449	1.6114840626219709	2.981343155389979
06	value	BensonV1	1	4	71	8.0	7.048419499110256	7.2755103	0.7462844191865041	-0.9515805008897438
06	value	BensonV1	1	4	72	25.5	27.455356632047174	27.17347	1.0125746800736468	1.9553566320471738
06	value	BensonV1	1	4	73	16.0	14.637904056251973	14.438775	0.6298899252464686	-1.3620959437480273
06	value	BensonV1	1	4	74	30.0	27.406836016644142	27.17347	1.0994245725111502	-2.5931639833558577
06	value	BensonV1	1	4	75	38.5	41.4548658285589	41.5	0.19175832958924716	2.9548658285589013
06	value	BensonV1	1	4	76	32.5	25.580542351770394	25.581633	1.7813602699118671	-6.919457648229606
06	value	BensonV1	1	4	77	13.0	12.88734404016043	12.846939	0.4635077828023826	-0.11265595983956977
06	value	BensonV1	1	4	78	22.0	24.631872878585995	24.785715	1.31035117519004	2.6318728785859946
06	value	BensonV1	1	4	79	31.5	29.14059260044468	28.765306	1.3151493193115213	-2.3594073995553195
06	value	BensonV1	1	4	80	12.5	13.555231324716543	13.642858	0.6394530759130794	1.0552313247165426
06	value	BensonV1	1	4	81	28.0	28.357439751665005	27.969387	1.4365035887148356	0.3574397516650052
06	value	BensonV1	1	4	82	12.0	13.655366422152175	13.642858	0.513647647355339	1.6553664221521753
06	value	BensonV1	1	4	83	11.0	2.5005267460540685	2.5	0.020470759825679356	-8.499473253945931
06	value	BensonV1	1	4	84	32.0	30.46849032247129	30.357143	1.485196045600109	-1.5315096775287103
06	value	BensonV1	1	4	85	11.5	10.23482503557266	10.459184	0.8492405511242375	-1.2651749644273398
06	value	BensonV1	1	4	86	36.0	34.64090432122063	34.336735	1.6529649254195113	-1.3590956787793687
06	value	BensonV1	1	4	87	14.0	15.891046471734818	16.030613	0.6252265836986969	1.8910464717348177
06	value	BensonV1	1	4	88	33.0	39.205282541722895	39.908165	0.7430153700673082	6.2052825417228945
06	value	BensonV1	1	4	89	10.0	10.311376071642654	10.459184	0.5990906555656248	0.3113760716426537
06	value	BensonV1	1	4	90	18.5	26.914992666979135	27.17347	1.6227404443527846	8.414992666979135
06	value	BensonV1	1	4	91	5.5	3.3150208781708876	2.5	0.8170427419408388	-2.1849791218291124
06	value	BensonV1	1	4	92	31.0	24.45044102974869	24.785715	1.7127028791140366	-6.5495589702513115
06	value	BensonV1	1	5	93	11.0	30.151998436443378	28.765306	4.2675870429251	19.151998436443378
06	value	BensonV1	1	5	94	36.0	38.99940342067831	39.908165	1.179091679272612	2.9994034206783127
06	value	BensonV1	1	5	95	32.0	2.508351518151395	2.5	0.47732618077313277	-29.491648481848607
06	value	BensonV1	1	5	96	30.0	18.074278300438678	18.418367	1.4003908988421354	-11.925721699561322
06	value	BensonV1	1	5	97	25.5	18.491939208934955	18.418367	1.2741401302954392	-7.008060791065045
06	value	BensonV1	1	5	98	28.0	27.07828389161634	27.17347	1.3588810326079424	-0.9217161083836594
06	value	BensonV1	1	5	99	8.0	3.2965049844007606	2.5	0.8309973801979877	-4.703495015599239
06	value	BensonV1	1	5	100	22.0	14.233508466524043	12.846939	1.2563317533055498	-7.766491533475957
06	value	BensonV1	1	5	101	18.5	15.519692540059298	15.234694	0.9393391592449716	-2.9803074599407022
06	value	BensonV1	1	5	102	31.0	21.145817995256735	21.602041	1.7752639717910135	-9.854182004743265
