value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
8.0	14.45272819185257	28.30859262946493	6.45272819185257	6.532616189479828	1000	05	2	cdf	5.320581982214439	unsmoothed
10.0	12.277565883636475	9.836959068770538	2.2775658836364747	2.3577724781036378	1000	05	2	cdf	3.136392684083187	unsmoothed
11.0	13.088827732086182	11.31640158979756	2.0888277320861817	2.318249975204468	1000	05	2	cdf	3.363985967538741	unsmoothed
11.5	13.759362176895142	12.376907212651778	2.259362176895141	2.5662859687805177	1000	05	2	cdf	3.518082888826211	unsmoothed
12.0	14.843802419662476	17.38451478002797	2.843802419662476	3.2730765895843508	1000	05	2	cdf	4.169474161093695	unsmoothed
12.5	15.071779856204987	14.03846390461013	2.5717798562049867	3.0509084696769717	1000	05	2	cdf	3.7467938166664747	unsmoothed
13.0	14.765985243797305	9.971455407255911	1.7659852437973025	2.067313445091248	1000	05	2	cdf	3.157761138410553	unsmoothed
14.0	15.95292862224579	11.287178688373396	1.952928622245789	2.542538447380066	1000	05	2	cdf	3.3596396664483823	unsmoothed
16.0	16.50558732700348	6.8185957007975	0.505587327003479	1.4694052038192749	1000	05	2	cdf	2.611244090619929	unsmoothed
18.5	18.671688336372377	17.38548842780462	0.1716883363723755	3.146654776573181	1000	05	2	cdf	4.1695909185200195	unsmoothed
22.0	21.852922696113588	2.073786019623113	-0.1470773038864135	0.5394911108016968	1000	05	2	cdf	1.4400645886984074	unsmoothed
25.5	22.850540484428407	15.963485110935167	-2.649459515571594	3.447910614967346	1000	05	2	cdf	3.9954330317169835	unsmoothed
28.0	26.32106713104248	12.742044521228545	-1.6789328689575196	2.120386016845703	1000	05	2	cdf	3.569600050597902	unsmoothed
30.0	29.60454896163941	5.180956687479451	-0.3954510383605957	0.9824264221191408	1000	05	2	cdf	2.276171497818091	unsmoothed
31.0	31.042135574340826	0.5106203176006245	0.0421355743408203	0.1337121810913085	1000	05	2	cdf	0.7145770200619557	unsmoothed
31.5	31.498967847824098	0.0396959251366997	-0.0010321521759033	0.1302090854644775	1000	05	2	cdf	0.19923836261297598	unsmoothed
32.0	31.97201784324646	0.0614723531861494	-0.02798215675354	0.1647181034088135	1000	05	2	cdf	0.24793618773012827	unsmoothed
32.5	32.52066196060181	0.0806077174148061	0.0206619606018066	0.1791501350402832	1000	05	2	cdf	0.2839149827233605	unsmoothed
33.0	33.06212762260437	0.0697215013899685	0.0621276226043701	0.1426274662017822	1000	05	2	cdf	0.2640482936698673	unsmoothed
34.0	33.95318848800659	0.0893324511094595	-0.0468115119934082	0.1109348182678222	1000	05	2	cdf	0.2988853477664295	unsmoothed
36.0	33.32890653038025	21.114315037928893	-2.671093469619751	2.6822356052398684	1000	05	2	cdf	4.595031560057982	unsmoothed
38.5	24.737786314964293	47.88612326866921	-13.762213685035706	13.762213685035706	1000	05	2	cdf	6.919980004932761	unsmoothed
5.5	7.0543874635696415	11.003999913512864	1.554387463569641	1.554387463569641	1000	06	1	cdf	3.3172277451982195	unsmoothed
8.0	8.813342607975006	6.241658294085491	0.8133426079750061	1.0068699221611024	1000	06	1	cdf	2.49833110177284	unsmoothed
10.0	10.543228614330292	4.592791482732718	0.5432286143302918	0.9814199814796448	1000	06	1	cdf	2.14307990582076	unsmoothed
11.0	11.994621380805969	8.134418689315345	0.9946213808059692	1.4232623319625854	1000	06	1	cdf	2.8520902316223	unsmoothed
11.5	12.762776830673218	8.567770173107622	1.2627768306732177	1.7226142024993896	1000	06	1	cdf	2.927075361706224	unsmoothed
12.0	13.57044933128357	12.404784511461708	1.5704493312835692	2.1438067302703856	1000	06	1	cdf	3.522042661788995	unsmoothed
12.5	14.320196002483367	14.03128588961861	1.820196002483368	2.413211905002594	1000	06	1	cdf	3.7458358065482007	unsmoothed
13.0	15.01265423822403	12.820186714389653	2.0126542382240293	2.456387794017792	1000	06	1	cdf	3.5805288316657435	unsmoothed
14.0	15.198497920036315	7.658409445560651	1.198497920036316	1.5076362409591677	1000	06	1	cdf	2.7673831403621456	unsmoothed
16.0	18.96279248714447	14.81147198942604	2.9627924871444704	3.5504189195632936	1000	06	1	cdf	3.8485675243427964	unsmoothed
18.5	21.100405088424683	13.567573908996504	2.6004050884246825	3.3081802005767824	1000	06	1	cdf	3.6834187800189793	unsmoothed
22.0	22.4036538438797	3.970911965038287	0.4036538438796997	1.0564816160202026	1000	06	1	cdf	1.9927147224422985	unsmoothed
25.5	24.69867803621292	13.077697263873183	-0.8013219637870789	2.7634586176872253	1000	06	1	cdf	3.616309895995251	unsmoothed
28.0	26.16755743312836	17.076101829983713	-1.832442566871643	3.4726021242141725	1000	06	1	cdf	4.132324022869421	unsmoothed
30.0	29.185509907245635	6.90698420141113	-0.814490092754364	1.3600910143852234	1000	06	1	cdf	2.628114191090473	unsmoothed
31.0	30.115610079288484	4.280254869448574	-0.8843899207115173	0.9813939566612244	1000	06	1	cdf	2.0688776835396947	unsmoothed
31.5	29.182825120925905	12.555748426607764	-2.3171748790740967	2.7453082981109618	1000	06	1	cdf	3.5434091531472576	unsmoothed
32.0	29.25993416118622	13.437747786714258	-2.740065838813781	3.2261389970779417	1000	06	1	cdf	3.665753372325293	unsmoothed
32.5	29.20086675453186	16.18068539332533	-3.2991332454681395	3.7042414379119872	1000	06	1	cdf	4.022522267598444	unsmoothed
33.0	29.60649046325684	17.502563139175994	-3.393509536743164	3.784109825134277	1000	06	1	cdf	4.1836064751809525	unsmoothed
34.0	30.53161340904236	16.84412249992218	-3.4683865909576417	3.8043414859771727	1000	06	1	cdf	4.104159170880459	unsmoothed
36.0	33.478371870994565	10.552251984890058	-2.5216281290054323	2.5732415018081665	1000	06	1	cdf	3.248422999686164	unsmoothed
38.5	38.275282995224	1.0618140655455248	-0.2247170047760009	0.2247170429229736	1000	06	1	cdf	1.0304436256028395	unsmoothed
2.5	2.9902528944015505	3.590445336447278	0.4902528944015503	0.4902528944015503	1000	06	2	inverse_cdf	1.8948470482989592	unsmoothed
3.0	4.565487185716629	8.548094917821018	1.565487185716629	1.582129944562912	1000	06	2	inverse_cdf	2.923712523115263	unsmoothed
4.0	4.978959211349487	4.330571912096605	0.9789592113494872	1.0576645679473875	1000	06	2	inverse_cdf	2.0810026218379942	unsmoothed
5.0	6.661410422563553	4.764546417379811	1.6614104225635529	1.866350321531296	1000	06	2	inverse_cdf	2.1827840977476014	unsmoothed
7.5	8.428596049785614	4.834918931936807	0.928596049785614	1.5830115838050842	1000	06	2	inverse_cdf	2.1988449085683164	unsmoothed
11.5	11.36585490465164	6.317773666851109	-0.1341450953483581	1.7038109374046326	1000	06	2	inverse_cdf	2.513518185104518	unsmoothed
16.0	15.797456405639648	3.5103341148958296	-0.2025435943603515	0.9493312301635742	1000	06	2	inverse_cdf	1.8735885660666884	unsmoothed
18.5	18.120710911750795	9.515694119436748	-0.3792890882492065	1.7852519216537477	1000	06	2	inverse_cdf	3.084751873236606	unsmoothed
20.0	19.86373678779602	14.650016193067987	-0.1362632122039795	2.278298765182495	1000	06	2	inverse_cdf	3.827533957141071	unsmoothed
21.0	21.07542445874214	12.491502113437212	0.0754244587421417	2.0316676585674287	1000	06	2	inverse_cdf	3.534331918968168	unsmoothed
21.5	21.6419949760437	11.262105205706025	0.1419949760437011	1.740723670959473	1000	06	2	inverse_cdf	3.3559060186045175	unsmoothed
22.0	21.876102018356324	5.300754211368456	-0.1238979816436767	1.0397961406707763	1000	06	2	inverse_cdf	2.302336685058998	unsmoothed
22.5	22.66874471473694	10.458217484053897	0.1687447147369384	1.683501184463501	1000	06	2	inverse_cdf	3.2339167404331697	unsmoothed
23.0	23.02030523777008	9.998013258704423	0.0203052377700805	1.71410702419281	1000	06	2	inverse_cdf	3.1619635131836077	unsmoothed
24.0	24.096648267745973	0.2298955586911982	0.0966482677459716	0.1786381397247314	1000	06	2	inverse_cdf	0.4794742523756601	unsmoothed
25.5	25.4657602519989	0.1757520298204691	-0.0342397480010986	0.1257397327423095	1000	06	2	inverse_cdf	0.41922789723546444	unsmoothed
28.0	28.12325699043274	0.4391691150717339	0.1232569904327392	0.1975986766815185	1000	06	2	inverse_cdf	0.6626983590380573	unsmoothed
32.5	32.47243416595459	0.6388492038675967	-0.0275658340454101	0.2600410385131836	1000	06	2	inverse_cdf	0.7992804288030557	unsmoothed
36.5	36.2363904914856	2.6764082675398395	-0.2636095085144043	0.6316019172668457	1000	06	2	inverse_cdf	1.6359731866811997	unsmoothed
39.0	38.97248073387146	1.2432527529794988	-0.02751926612854	0.2993419055938721	1000	06	2	inverse_cdf	1.115012445212832	unsmoothed
40.0	38.51349952507019	10.354729185860736	-1.4865004749298096	1.558061586380005	1000	06	2	inverse_cdf	3.2178765025806593	unsmoothed
41.0	37.1256413640976	32.68810867118332	-3.874358635902405	3.898447770118713	1000	06	2	inverse_cdf	5.717351543431917	unsmoothed
41.5	37.76953517436981	30.81968439887973	-3.730464825630188	3.730464825630188	1000	06	2	inverse_cdf	5.551547928180007	unsmoothed
2.5	7.221545546531678	13.210137588918217	4.721545546531678	4.721545546531678	1000	07	1	inverse_cdf	3.6345752969113483	unsmoothed
3.0	6.334394418478012	10.984595191732067	3.334394418478012	3.334394418478012	1000	07	1	inverse_cdf	3.314301614478089	unsmoothed
4.0	7.20689337515831	12.238029844711756	3.2068933751583097	3.23825896859169	1000	07	1	inverse_cdf	3.4982895598723323	unsmoothed
5.0	7.131990177869797	9.308152654751163	2.1319901778697967	2.2583930017948157	1000	07	1	inverse_cdf	3.0509265239843395	unsmoothed
7.5	9.49157207775116	11.325606668364587	1.99157207775116	2.682413010597229	1000	07	1	inverse_cdf	3.365353869708888	unsmoothed
11.5	11.13069987487793	4.628768919971939	-0.3693001251220703	1.4550442600250244	1000	07	1	inverse_cdf	2.1514573944124336	unsmoothed
16.0	14.83103596496582	8.240684804399326	-1.1689640350341797	2.046226448059082	1000	07	1	inverse_cdf	2.8706592978616126	unsmoothed
18.5	18.06751518154144	4.208825814420117	-0.4324848184585571	0.9371200838088988	1000	07	1	inverse_cdf	2.051542301396712	unsmoothed
20.0	18.34570485830307	11.821538583865806	-1.65429514169693	2.5112533020973205	1000	07	1	inverse_cdf	3.4382464402462203	unsmoothed
21.0	19.387812309265136	16.057880979655394	-1.6121876907348631	2.900005321502685	1000	07	1	inverse_cdf	4.00722859089114	unsmoothed
21.5	20.29686623954773	15.038810551383728	-1.2031337604522705	2.5855311794281004	1000	07	1	inverse_cdf	3.877990530079171	unsmoothed
22.0	21.819938045024877	2.70484979999227	-0.1800619549751281	0.4467417416572571	1000	07	1	inverse_cdf	1.6446427575593034	unsmoothed
22.5	21.30371147298813	13.450444009862636	-1.1962885270118713	2.33257301568985	1000	07	1	inverse_cdf	3.667484697972527	unsmoothed
23.0	21.69115913391113	16.99710128417577	-1.3088408660888673	2.8235858612060545	1000	07	1	inverse_cdf	4.122754089704571	unsmoothed
24.0	23.41576558160782	9.483878442858378	-0.5842344183921814	1.748821801662445	1000	07	1	inverse_cdf	3.0795906291028974	unsmoothed
25.5	24.99568524885177	4.462678867776427	-0.5043147511482239	0.8924982647895813	1000	07	1	inverse_cdf	2.1125053533130815	unsmoothed
28.0	27.851493678569792	2.3747414099386552	-0.1485063214302063	0.4964059376716613	1000	07	1	inverse_cdf	1.5410196007639407	unsmoothed
32.5	32.423742023468016	1.5054654835276955	-0.0762579765319824	0.4490789222717285	1000	07	1	inverse_cdf	1.2269741168939527	unsmoothed
36.5	36.07689587020874	3.0400239381685226	-0.4231041297912598	0.6870671272277832	1000	07	1	inverse_cdf	1.7435664421433794	unsmoothed
39.0	38.88536074066162	0.9489662493836244	-0.1146392593383789	0.1442322616577148	1000	07	1	inverse_cdf	0.9741489872620227	unsmoothed
40.0	38.61569519138336	11.202996033482576	-1.3843048086166383	1.4274955358505248	1000	07	1	inverse_cdf	3.3470876943221217	unsmoothed
41.0	40.4097815694809	5.788777260924888	-0.590218430519104	0.6255024881362915	1000	07	1	inverse_cdf	2.4059877931786953	unsmoothed
