subject	orientation	response	mapping	value
2	82.5	17.5	cdf	18.5
2	90.0	22.5	cdf	22.0
2	112.5	32.0	cdf	30.0
2	45.0	12.5	cdf	12.0
2	67.5	14.0	cdf	14.0
2	120.0	30.5	cdf	31.0
2	52.5	13.0	cdf	12.5
2	157.5	37.5	cdf	34.0
2	105.0	26.5	cdf	28.0
2	45.0	12.5	cdf	12.0
2	22.5	11.0	cdf	10.0
2	37.5	12.5	cdf	11.5
2	120.0	31.0	cdf	31.0
2	112.5	28.5	cdf	30.0
2	165.0	33.5	cdf	36.0
2	60.0	14.0	cdf	13.0
2	157.5	36.0	cdf	34.0
2	67.5	13.5	cdf	14.0
2	52.5	12.0	cdf	12.5
2	135.0	32.0	cdf	32.0
2	82.5	20.5	cdf	18.5
2	90.0	22.0	cdf	22.0
2	7.5	5.5	cdf	5.5
2	97.5	25.0	cdf	25.5
2	75.0	16.0	cdf	16.0
2	172.5	37.0	cdf	38.5
2	30.0	11.0	cdf	11.0
2	15.0	11.0	cdf	8.0
2	127.5	32.0	cdf	31.5
2	142.5	33.5	cdf	32.5
2	150.0	34.0	cdf	33.0
2	90.0	24.0	cdf	22.0
2	45.0	11.5	cdf	12.0
2	172.5	38.0	cdf	38.5
2	60.0	13.0	cdf	13.0
2	127.5	33.0	cdf	31.5
2	97.5	31.0	cdf	25.5
2	112.5	29.0	cdf	30.0
2	67.5	14.5	cdf	14.0
2	7.5	10.5	cdf	5.5
2	52.5	12.5	cdf	12.5
2	30.0	9.5	cdf	11.0
2	15.0	9.0	cdf	8.0
2	82.5	20.0	cdf	18.5
2	37.5	12.0	cdf	11.5
2	165.0	34.5	cdf	36.0
2	150.0	35.5	cdf	33.0
2	120.0	36.0	cdf	31.0
2	142.5	35.0	cdf	32.5
2	135.0	33.0	cdf	32.0
2	105.0	26.5	cdf	28.0
2	22.5	11.0	cdf	10.0
2	157.5	36.0	cdf	34.0
2	75.0	13.0	cdf	16.0
2	37.5	6.5	inverse_cdf	7.5
2	75.0	20.5	inverse_cdf	21.0
2	15.0	4.5	inverse_cdf	3.0
2	120.0	26.0	inverse_cdf	25.5
2	82.5	21.5	inverse_cdf	21.5
2	97.5	22.0	inverse_cdf	22.5
2	150.0	39.5	inverse_cdf	39.0
2	30.0	7.0	inverse_cdf	5.0
2	52.5	31.0	inverse_cdf	16.0
2	135.0	32.5	inverse_cdf	32.5
2	142.5	35.5	inverse_cdf	36.5
2	105.0	26.0	inverse_cdf	23.0
2	157.5	39.0	inverse_cdf	40.0
2	90.0	22.0	inverse_cdf	22.0
2	112.5	25.0	inverse_cdf	24.0
2	22.5	5.5	inverse_cdf	4.0
2	45.0	10.0	inverse_cdf	11.5
2	60.0	20.0	inverse_cdf	18.5
2	172.5	40.5	inverse_cdf	41.5
2	165.0	40.0	inverse_cdf	41.0
2	127.5	29.5	inverse_cdf	28.0
2	22.5	5.0	inverse_cdf	4.0
2	112.5	25.0	inverse_cdf	24.0
2	142.5	38.0	inverse_cdf	36.5
2	120.0	30.5	inverse_cdf	25.5
2	52.5	15.5	inverse_cdf	16.0
2	75.0	19.0	inverse_cdf	21.0
2	127.5	29.5	inverse_cdf	28.0
2	97.5	22.5	inverse_cdf	22.5
2	45.0	10.5	inverse_cdf	11.5
2	37.5	7.5	inverse_cdf	7.5
2	150.0	35.0	inverse_cdf	39.0
2	30.0	6.0	inverse_cdf	5.0
2	165.0	39.5	inverse_cdf	41.0
2	135.0	32.5	inverse_cdf	32.5
2	15.0	4.5	inverse_cdf	3.0
2	172.5	40.5	inverse_cdf	41.5
2	7.5	2.5	inverse_cdf	2.5
2	67.5	20.5	inverse_cdf	20.0
2	105.0	27.5	inverse_cdf	23.0
2	90.0	22.0	inverse_cdf	22.0
2	60.0	16.5	inverse_cdf	18.5
2	157.5	38.0	inverse_cdf	40.0
2	22.5	6.5	inverse_cdf	4.0
2	142.5	35.0	inverse_cdf	36.5
2	105.0	23.5	inverse_cdf	23.0
2	52.5	13.0	inverse_cdf	16.0
2	135.0	32.0	inverse_cdf	32.5
2	120.0	25.5	inverse_cdf	25.5
2	45.0	11.0	inverse_cdf	11.5
2	150.0	37.5	inverse_cdf	39.0
2	82.5	23.0	inverse_cdf	21.5
2	7.5	4.5	inverse_cdf	2.5
2	15.0	4.0	inverse_cdf	3.0
2	90.0	22.0	inverse_cdf	22.0
2	60.0	16.0	inverse_cdf	18.5
2	172.5	41.0	inverse_cdf	41.5
2	157.5	39.0	inverse_cdf	40.0
2	37.5	8.0	inverse_cdf	7.5
2	165.0	38.0	inverse_cdf	41.0
2	127.5	28.5	inverse_cdf	28.0
2	75.0	20.5	inverse_cdf	21.0
2	30.0	7.5	inverse_cdf	5.0
2	97.5	22.0	inverse_cdf	22.5
2	67.5	16.5	inverse_cdf	20.0
2	120.0	29.5	inverse_cdf	25.5
2	45.0	12.0	inverse_cdf	11.5
2	112.5	23.0	inverse_cdf	24.0
2	97.5	22.0	inverse_cdf	22.5
2	172.5	40.5	inverse_cdf	41.5
2	135.0	33.0	inverse_cdf	32.5
2	75.0	19.0	inverse_cdf	21.0
2	22.5	5.5	inverse_cdf	4.0
2	90.0	22.0	inverse_cdf	22.0
2	105.0	22.5	inverse_cdf	23.0
2	150.0	36.5	inverse_cdf	39.0
2	15.0	5.0	inverse_cdf	3.0
2	157.5	38.5	inverse_cdf	40.0
2	30.0	7.0	inverse_cdf	5.0
2	60.0	14.0	inverse_cdf	18.5
2	142.5	32.5	inverse_cdf	36.5
2	37.5	9.0	inverse_cdf	7.5
2	52.5	13.5	inverse_cdf	16.0
2	82.5	21.0	inverse_cdf	21.5
2	7.5	2.0	inverse_cdf	2.5
2	67.5	18.5	inverse_cdf	20.0
2	165.0	39.0	inverse_cdf	41.0
2	127.5	28.5	inverse_cdf	28.0
2	67.5	16.5	inverse_cdf	20.0
2	172.5	41.0	inverse_cdf	41.5
2	127.5	32.0	inverse_cdf	28.0
2	45.0	11.0	inverse_cdf	11.5
2	150.0	36.0	inverse_cdf	39.0
2	142.5	36.0	inverse_cdf	36.5
2	120.0	28.5	inverse_cdf	25.5
2	75.0	20.0	inverse_cdf	21.0
2	165.0	39.5	inverse_cdf	41.0
2	52.5	15.5	inverse_cdf	16.0
2	90.0	22.0	inverse_cdf	22.0
2	22.5	5.5	inverse_cdf	4.0
2	7.5	3.0	inverse_cdf	2.5
2	105.0	24.0	inverse_cdf	23.0
2	157.5	37.5	inverse_cdf	40.0
2	135.0	30.5	inverse_cdf	32.5
2	60.0	12.5	inverse_cdf	18.5
2	37.5	17.5	inverse_cdf	7.5
2	82.5	20.5	inverse_cdf	21.5
2	112.5	29.0	inverse_cdf	24.0
2	15.0	4.5	inverse_cdf	3.0
2	22.5	7.0	inverse_cdf	4.0
2	172.5	41.5	inverse_cdf	41.5
