subject	model	mask	nvoxels	prior	r
10	Linear	vmPFC+OFC	50	uniform	0.06340950636241831
10	Linear	vmPFC+OFC	50	matched	0.06397393522187578
10	Linear	vmPFC+OFC	100	uniform	0.0524929873794715
10	Linear	vmPFC+OFC	100	matched	0.05253875013463377
10	Linear	vmPFC+OFC	250	uniform	0.0768694675646514
10	Linear	vmPFC+OFC	250	matched	0.0770554188349654
10	Linear	vmPFC+OFC	500	uniform	0.06990245504382729
10	Linear	vmPFC+OFC	500	matched	0.07022818736470134
11	PRF	V1	0	uniform	0.7927542216847572
11	PRF	V1	0	matched	0.791138899782115
11	PRF	V1	50	uniform	0.789578688643715
11	PRF	V1	50	matched	0.7894996763019234
11	PRF	V1	100	uniform	0.7904896463176216
11	PRF	V1	100	matched	0.7905571755567575
11	PRF	V1	250	uniform	0.8071642247372423
11	PRF	V1	250	matched	0.8054406447432745
11	PRF	V1	500	uniform	0.7991875422165313
11	PRF	V1	500	matched	0.7972659618596545
11	PRF	NPCr	0	uniform	0.1433777517414828
11	PRF	NPCr	0	matched	0.13367535736819453
11	PRF	NPCr	50	uniform	0.21111588241837093
11	PRF	NPCr	50	matched	0.21408810846930942
11	PRF	NPCr	100	uniform	0.24837518607483708
11	PRF	NPCr	100	matched	0.2493228581749067
11	PRF	NPCr	250	uniform	0.2342089289412942
11	PRF	NPCr	250	matched	0.23728899083852353
11	PRF	NPCr	500	uniform	0.20821791581316154
11	PRF	NPCr	500	matched	0.2105821383345397
11	PRF	vmPFC+OFC	0	uniform	0.07732520464173256
11	PRF	vmPFC+OFC	0	matched	0.07605747632432501
11	PRF	vmPFC+OFC	50	uniform	-0.031876478149613266
11	PRF	vmPFC+OFC	50	matched	-0.036152759129834906
11	PRF	vmPFC+OFC	100	uniform	-0.07490075545968412
11	PRF	vmPFC+OFC	100	matched	-0.08069968962149196
11	PRF	vmPFC+OFC	250	uniform	-0.1391801504700122
11	PRF	vmPFC+OFC	250	matched	-0.13105823778298328
11	PRF	vmPFC+OFC	500	uniform	-0.1066073511780647
11	PRF	vmPFC+OFC	500	matched	-0.1103571354288301
11	Linear	V1	0	uniform	0.7778208862246148
11	Linear	V1	0	matched	0.7779729830343902
11	Linear	V1	50	uniform	0.7720032976353242
11	Linear	V1	50	matched	0.7721155769238311
11	Linear	V1	100	uniform	0.7638022499988756
11	Linear	V1	100	matched	0.7641728709311588
11	Linear	V1	250	uniform	0.7844015408465435
11	Linear	V1	250	matched	0.7849130369204678
11	Linear	V1	500	uniform	0.777877310307824
11	Linear	V1	500	matched	0.778189574437919
11	Linear	NPCr	0	uniform	0.27512011960600635
11	Linear	NPCr	0	matched	0.27576349071477896
11	Linear	NPCr	50	uniform	0.3521800854933927
11	Linear	NPCr	50	matched	0.35358707879276347
11	Linear	NPCr	100	uniform	0.3069993969086611
11	Linear	NPCr	100	matched	0.30845441868776813
